ent_ip_src,ent_tp_src,ent_tp_dst,ent_packet_type,total_packets,ATKorNot
0,6.0660891905,0,0,67,0
0,3,0,0,8,0
0,3.5849625007,0,0,12,0
0.5292830169,5.9077148026,0.4220005169,0.4220005169,70,0
0.5916727786,3.6644977792,0.946372936,0.946372936,14,0
0.4273650365,5.9402687977,0.3750514064,0.3750514064,69,0
0.3912435636,3.5465935643,0.6193821947,0.6193821947,13,0
0,5.96875,0.1161150753,0.1161150753,64,0
0,5.9307373376,0,0,61,0
0,6.1898245589,0,0,73,0
0.3024381345,6.1853632042,0.2398738253,0.2398738253,76,0
1.5849625007,0.9182958341,0.9182958341,0.9182958341,3,0
0.1032750846,6.2094533656,0.1032750846,0.1032750846,74,0
0.1755650259,6.221611724,0.1755650259,0.1755650259,76,0
0.1010669636,6.2479275134,0.1010669636,0.1010669636,76,0
0,6.1898245589,0.104419078,0.104419078,73,0
0.1021580364,6.2288186905,0.1021580364,0.1021580364,75,0
0,6.2288186905,0.1021580364,0.1021580364,75,0
1.9219280949,0.9709505945,0.9709505945,0.9709505945,5,0
0.4138168503,3.5849625007,0.4138168503,0,12,0
2.436260766,3.6231283466,3.1736703082,0,143,0
1.0529815751,3.3735572623,0.8366407419,0.8366407419,15,0
0.717087915,5.8932288814,0.7651670246,0.1811664016,73,0
2.847910032,1.511074325,3.4932153006,0.2422921891,75,0
0.3122113324,5.9492156976,0.2698284477,0.2698284477,65,0
0.4138168503,3.5849625007,0.4138168503,0.4138168503,12,0
0.5143215582,6.0106275365,0.4454101452,0.2580186687,69,0
0.7732283485,3.5465935643,0.6193821947,0.6193821947,13,0
0,5.672425342,0.1392329991,0.1392329991,51,0
0.5896261812,4.6644977792,0.7345299214,0.3712323266,28,0
