IP_source,destination_port,sum_ip
123.27.149.107,2.321928094887362,5
14.181.255.23,2.0,4
103.199.32.121,0.0,1
113.183.216.176,0.0,1
207.46.13.184,0.0,1
14.181.255.23,0.0,1
113.183.216.176,2.584962500721156,6
14.181.255.23,1.584962500721156,3
113.183.216.176,0.0,1
113.183.216.176,2.584962500721156,6
115.74.42.195,1.584962500721156,3
115.74.42.195,2.0,4
207.46.13.184,0.0,1
113.175.162.36,3.0,8
103.199.32.121,2.584962500721156,6
113.175.162.36,2.584962500721156,6
171.232.27.113,0.0,1
171.232.36.83,0.0,1
113.183.216.176,0.0,1
171.232.36.83,2.321928094887362,5
113.183.216.176,2.321928094887362,5
118.71.112.2,0.0,1
103.199.32.121,2.584962500721156,6
